VCD info: dumpfile lab6.vcd opened for output.
clk = 0 | reset = 1 | mode_select = 00 | signal_a = 0000 | signal_b = 0000 | status_leds = 001 | control_out = 0000
clk = 1 | reset = 1 | mode_select = 00 | signal_a = 0000 | signal_b = 0000 | status_leds = 001 | control_out = 0000
clk = 0 | reset = 1 | mode_select = 00 | signal_a = 0000 | signal_b = 0000 | status_leds = 001 | control_out = 0000
clk = 1 | reset = 1 | mode_select = 00 | signal_a = 0000 | signal_b = 0000 | status_leds = 001 | control_out = 0000
clk = 0 | reset = 0 | mode_select = 00 | signal_a = 0111 | signal_b = 0011 | status_leds = 001 | control_out = 0000
clk = 1 | reset = 0 | mode_select = 00 | signal_a = 0111 | signal_b = 0011 | status_leds = 001 | control_out = 1010
clk = 0 | reset = 0 | mode_select = 00 | signal_a = 0111 | signal_b = 0011 | status_leds = 001 | control_out = 1010
clk = 1 | reset = 0 | mode_select = 00 | signal_a = 0111 | signal_b = 0011 | status_leds = 001 | control_out = 1010
clk = 0 | reset = 0 | mode_select = 01 | signal_a = 1100 | signal_b = 0101 | status_leds = 100 | control_out = 1010
clk = 1 | reset = 0 | mode_select = 01 | signal_a = 1100 | signal_b = 0101 | status_leds = 100 | control_out = 0111
clk = 0 | reset = 0 | mode_select = 01 | signal_a = 1100 | signal_b = 0101 | status_leds = 100 | control_out = 0111
clk = 1 | reset = 0 | mode_select = 01 | signal_a = 1100 | signal_b = 0101 | status_leds = 100 | control_out = 0111
clk = 0 | reset = 0 | mode_select = 01 | signal_a = 0011 | signal_b = 1001 | status_leds = 010 | control_out = 0111
clk = 1 | reset = 0 | mode_select = 01 | signal_a = 0011 | signal_b = 1001 | status_leds = 010 | control_out = 0110
clk = 0 | reset = 0 | mode_select = 01 | signal_a = 0011 | signal_b = 1001 | status_leds = 010 | control_out = 0110
clk = 1 | reset = 0 | mode_select = 01 | signal_a = 0011 | signal_b = 1001 | status_leds = 010 | control_out = 0110
clk = 0 | reset = 0 | mode_select = 11 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0110
clk = 1 | reset = 0 | mode_select = 11 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 0 | reset = 0 | mode_select = 11 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 1 | reset = 0 | mode_select = 11 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0101
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0101
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1010
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1010
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1111
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1111
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0000
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0101
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 0101
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1010
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1010
clk = 1 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1111
ass_6_tb.v:61: $finish called at 180 (1s)
clk = 0 | reset = 0 | mode_select = 10 | signal_a = 1010 | signal_b = 0110 | status_leds = 111 | control_out = 1111
